,City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness %
0,Mar del Plata,AR,-38.0023,-57.5575,63.16,77,12.66,75
1,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,2.35,75
2,Verkh-Usugli,RU,52.7,115.1667,-23.51,82,3.31,74
3,Hilo,US,19.7297,-155.09,73.58,61,10.36,20
4,Klaksvík,FO,62.2266,-6.589,21.2,93,2.3,96
5,Christchurch,NZ,-43.5333,172.6333,71.19,49,10.36,96
6,Batagay-Alyta,RU,67.8006,130.4114,-38.16,80,2.04,100
7,Deputatsky,RU,69.3,139.9,-25.65,88,2.13,100
8,Puerto Ayora,EC,-0.7393,-90.3518,79.0,89,5.01,53
9,Bredasdorp,ZA,-34.5322,20.0403,62.01,81,1.01,99
10,Vao,NC,-22.6667,167.4833,75.9,76,24.34,100
11,Cap Malheureux,MU,-19.9842,57.6142,79.0,78,7.0,9
12,Eenhana,NA,-17.4667,16.3333,73.4,78,3.44,100
13,Ribeira Grande,PT,38.5167,-28.7,63.21,84,30.0,92
14,Lander,US,42.833,-108.7307,32.61,35,4.61,1
15,Rikitea,PF,-23.1203,-134.9692,79.54,61,6.33,35
16,Kirakira,SB,-10.4544,161.9205,85.32,72,22.68,50
17,Barrow,US,71.2906,-156.7887,-13.0,70,11.5,90
18,George Town,MY,5.4112,100.3354,78.42,73,3.44,20
19,Punta Arenas,CL,-53.15,-70.9167,53.29,62,31.07,0
20,Ponta do Sol,PT,32.6667,-17.1,54.9,72,1.99,0
21,Jamestown,US,42.097,-79.2353,27.52,74,13.8,90
22,Key Largo,US,25.0865,-80.4473,71.33,89,10.16,100
23,Östersund,SE,63.1792,14.6357,13.19,92,0.54,90
24,Mayumba,GA,-3.432,10.6554,77.86,84,2.84,100
25,Karanpura,IN,29.1018,75.092,53.76,39,5.68,0
26,Kendari,ID,-3.945,122.4989,82.58,76,2.24,100
27,Albany,US,42.6001,-73.9662,14.92,53,1.88,100
28,Marawi,PH,7.9986,124.2928,75.99,88,5.99,100
29,Hithadhoo,MV,-0.6,73.0833,82.09,79,11.23,63
30,Aklavik,CA,68.2191,-135.0107,-21.15,76,5.75,100
31,Haines Junction,CA,60.7522,-137.5108,3.2,72,5.75,100
32,Kaeo,NZ,-35.1,173.7833,72.99,47,9.04,0
33,Upernavik,GL,72.7868,-56.1549,2.62,92,6.6,100
34,Gwanda,ZW,-20.9333,29.0,70.93,84,2.95,100
35,Butaritari,KI,3.0707,172.7902,80.98,82,14.23,56
36,Bethel,US,41.3712,-73.414,21.04,53,4.61,90
37,La Asuncion,VE,11.0333,-63.8628,76.93,84,17.4,99
38,Saint-Philippe,RE,-21.3585,55.7679,73.71,69,11.5,20
39,Busselton,AU,-33.65,115.3333,71.91,61,5.99,0
